"id","title","speech_title","speaker_name"
"ojZav0u29B4","A Hospital in the Cloud Bringing Health Care Anywhere in the World | Mohamed Aburawi | TED","A Hospital in the Cloud Bringing Health Care Anywhere in the World","Mohamed Aburawi"
"cfKFbh8LPvU","How to Reclaim Your Life From Work | Simone Stolzoff | TED","How to Reclaim Your Life From Work","Simone Stolzoff"
"V56A6SHbI1Q","3 Reasons to Take Risks Like a Teenager | Adriana Galván | TED","3 Reasons to Take Risks Like a Teenager","Adriana Galván"
"I5oeY5O5oJI","The Potential US TikTok Ban — and What’s at Stake | Clay Shirky | TED","The Potential US TikTok Ban — and What’s at Stake","Clay Shirky"
"Ne-1bg2Ifn4","The Absurd Inequality of Climate Work — and How to Fix It | Joshua Amponsem | TED","The Absurd Inequality of Climate Work — and How to Fix It","Joshua Amponsem"
"GTmQF2ABid0","Why Violence Is Rising With Global Temperatures | Peter Schwartzstein | TED","Why Violence Is Rising With Global Temperatures","Peter Schwartzstein"
"vgigO1XgyRo","The Mind-Reading Potential of AI | Chin-Teng Lin | TED","The Mind-Reading Potential of AI","Chin-Teng Lin"
"I2s4msDXNgw","Can You Love Your Body — and Still Want To Change It? | Gabriella Lascano | TED","Can You Love Your Body — and Still Want To Change It?","Gabriella Lascano"
"_hZseWeLSFY","How Community-Led Research Drives Social Change | Monica Malta | TED","How Community-Led Research Drives Social Change","Monica Malta"
"GVdzOw_8pFE","What Does Poverty Look Like on a Plate? | Huiyi Lin | TED","What Does Poverty Look Like on a Plate?","Huiyi Lin"
"fHDy7Jzp-5I","How to Make Big Decisions in Challenging Circumstances | Jonathan Reimer | TED","How to Make Big Decisions in Challenging Circumstances","Jonathan Reimer"
"lY7e3CDPY4g","What’s Our Relationship to AI? It’s Complicated | AC Coppens, Kasley Killam, Apolinário Passos | TED","What’s Our Relationship to AI? It’s Complicated","AC Coppens, Kasley Killam, Apolinário Passos"
"0Vjh5d5rez0","Want to Give a Great Presentation? Use Ugly Sketches | Martin J. Eppler | TED","Want to Give a Great Presentation? Use Ugly Sketches","Martin J. Eppler"
"hg_xzFJ4ZAA","4 Steps to Unlock Your Kid's Math Potential | Shalinee Sharma | TED","4 Steps to Unlock Your Kid's Math Potential","Shalinee Sharma"
"hKx4HGfNgCg","Break the Bad News Bubble (Part 2) | Angus Hervey | TED","Break the Bad News Bubble (Part 2)","Angus Hervey"
"lkMV6SxilXc","How to Protect Your Emotional Health During the Holidays | Guy Winch | TED","How to Protect Your Emotional Health During the Holidays","Guy Winch"
"QsXfQW9LrjA","The Greatest Show on Earth — for Kids Who Need It Most | Sahba Aminikia | TED","The Greatest Show on Earth — for Kids Who Need It Most","Sahba Aminikia"
"p-Yd4PdmYzg","Why Your Body Fights Weight Loss | Katherine Saunders | TED","Why Your Body Fights Weight Loss","Katherine Saunders"
"E7hwoDHfU28","How a Deepfake Almost Ruined My Political Career | Cara Hunter | TED","How a Deepfake Almost Ruined My Political Career","Cara Hunter"
"qsnbJZQAD-k","The Song That Sparked a Movement in Afghanistan | Nila Ibrahimi | TED","The Song That Sparked a Movement in Afghanistan","Nila Ibrahimi"
"kZeVIJqW1ts","The Real-World Danger of Online Myths | Vidhya Ramalingam | TED","The Real-World Danger of Online Myths","Vidhya Ramalingam"
"oD50pUZFEbo","How Art Transforms Brokenness Into Beauty | Lily Yeh | TED","How Art Transforms Brokenness Into Beauty","Lily Yeh"
"amtBUvkweEA","Forget the Corporate Ladder — Winners Take Risks | Molly Graham | TED","Forget the Corporate Ladder — Winners Take Risks","Molly Graham"
"sLapoMlHOeY","How Your Childhood Toys Tell Your Life Story | Chris Byrne | TED","How Your Childhood Toys Tell Your Life Story","Chris Byrne"
"bsxJVgb6Kls","The Trick to Powerful Public Speaking | Lawrence Bernstein | TED","The Trick to Powerful Public Speaking","Lawrence Bernstein"
"YL5mJAGGsjY","This Refrigerator Is Saving Lives | Norah Magero | TED","This Refrigerator Is Saving Lives","Norah Magero"
"Fq0jpQrTEFs","How to Hide “Science Vegetables” in Viral Videos, with @MarkRober Rober | ReThinking with Adam Grant","How to Hide “Science Vegetables” in Viral Videos, with @MarkRober Rober","ReThinking with Adam Grant"
"0jBhEPtC0fk","Our Savory, Spicy, Significant Relationship With Food | June Jo Lee | TED","Our Savory, Spicy, Significant Relationship With Food","June Jo Lee"
"uq-deRtvedI","How AI Is Saving Billions of Years of Human Research Time | Max Jaderberg | TED","How AI Is Saving Billions of Years of Human Research Time","Max Jaderberg"
"nT1MYWOFgJo","Can Curiosity Heal Division? | Scott Shigeoka | TED","Can Curiosity Heal Division?","Scott Shigeoka"
"pMgqSJP9dN8","Can AI Master the Art of Humor? | Bob Mankoff | TED","Can AI Master the Art of Humor?","Bob Mankoff"
"GRgqbsP_-uw","Why Do You Love Your Favorite Songs? | Scarlet Keys | TED","Why Do You Love Your Favorite Songs?","Scarlet Keys"
"YbnS39GAcQo","Your Relationship Expectations Could Be Holding You Back | Stephanie R. Yates-Anyabwile | TED","Your Relationship Expectations Could Be Holding You Back","Stephanie R. Yates-Anyabwile"
"VEgltjydwZ8","The Foods Humanity Forgot — and How We’re Bringing Them Back | Helianti Hilman | TED","The Foods Humanity Forgot — and How We’re Bringing Them Back","Helianti Hilman"
"g3AU44HfpfE","How I Imitate Nature’s Voices | Snow Raven | TED","How I Imitate Nature’s Voices","Snow Raven"
"do27uAjfKbg","How to Be an “Apocalyptic Optimist” | Dana R. Fisher | TED","How to Be an “Apocalyptic Optimist”","Dana R. Fisher"
"Nh1QvWm0BrQ","Ask Dumb Questions, Embrace Mistakes — and Other Lessons on Innovation | Dave Raggio | TED","Ask Dumb Questions, Embrace Mistakes — and Other Lessons on Innovation","Dave Raggio"
"dDKozwjlt-Q","A Mouse With Two Dads — and a New Frontier for Biology | Katsuhiko Hayashi | TED","A Mouse With Two Dads — and a New Frontier for Biology","Katsuhiko Hayashi"
"SoI9-PP5Tmk","Can Europe Win the Age of AI? | Thomas Dohmke | TED","Can Europe Win the Age of AI?","Thomas Dohmke"
"dzBj5rRmTv8","K-Pop, Cutting-Edge Tech and Other Ways Asia Is Shaping the World | Neeraj Aggarwal | TED","K-Pop, Cutting-Edge Tech and Other Ways Asia Is Shaping the World","Neeraj Aggarwal"
"HLwvyD1MbSM","A Menu of Foods We Might Lose Forever | Sam Kass | TED","A Menu of Foods We Might Lose Forever","Sam Kass"
"Tq6_7XyCyyI","Is AI Progress Stuck? | Jennifer Golbeck | TED","Is AI Progress Stuck?","Jennifer Golbeck"
"wRa3sycERxA","Why Friendship Can Be Just As Meaningful as Romantic Love | Rhaina Cohen | TED","Why Friendship Can Be Just As Meaningful as Romantic Love","Rhaina Cohen"
"UFNRxEmoMaw","Why Spending Smarter Beats Bigger Budgets | Karthik Muralidharan | TED","Why Spending Smarter Beats Bigger Budgets","Karthik Muralidharan"
"1Bj-zXkVi68","Yo! Have You Ever Seen a Yo-Yo Dance Like This? | Shu Takada | TED","Yo! Have You Ever Seen a Yo-Yo Dance Like This?","Shu Takada"
"YKufhUZRJ1E","Listen to Your Intuition — It Can Help You Navigate the Future | Hrund Gunnsteinsdóttir | TED","Listen to Your Intuition — It Can Help You Navigate the Future","Hrund Gunnsteinsdóttir"
"44lbeIb6TjA","From Prison to Purpose Through Wildland Firefighting | Royal Ramey | TED","From Prison to Purpose Through Wildland Firefighting","Royal Ramey"
"MMaWtHnyP04","Luxury, Not Landfill — the Waste-Free Future of Fashion | Joon Silverstein | TED","Luxury, Not Landfill — the Waste-Free Future of Fashion","Joon Silverstein"
"vh8q8ySORFs","Why You Think You Look Bad in Photos | Teri Hofford | TED","Why You Think You Look Bad in Photos","Teri Hofford"
"hHYe3O7_TUA","Democracy Is Being Tested. Citizen Assemblies Can Help | Ketakandriana Rafitoson | TED","Democracy Is Being Tested. Citizen Assemblies Can Help","Ketakandriana Rafitoson"
"PYRFxrLt30A","5 Ways Leaders Can Adapt to Shifting Geopolitics | Nikolaus S. Lang | TED","5 Ways Leaders Can Adapt to Shifting Geopolitics","Nikolaus S. Lang"
"OjuYFNR1aWo","How AI Could Hack Democracy | Lawrence Lessig | TED","How AI Could Hack Democracy","Lawrence Lessig"
"YP-iH-7WRLI","How to Defend Democracy — and Fight Autocracy | Leopoldo Lopez | TED","How to Defend Democracy — and Fight Autocracy","Leopoldo Lopez"
"2LkDU0iKaro","Networking Doesn’t Have to Feel Gross | Daniel Hallak | TED","Networking Doesn’t Have to Feel Gross","Daniel Hallak"
"HDHbjYNBwXI","Poetry and Music That Reaches Across the Digital Void | Elle Cordova | TED","Poetry and Music That Reaches Across the Digital Void","Elle Cordova"
"RmXrwKydM9k","The Tipping Point I Got Wrong | Malcolm Gladwell | TED","The Tipping Point I Got Wrong","Malcolm Gladwell"
"Efp1EiSwDO4","A Food System That Fights Climate Change — Instead of Causing It | Gonzalo Muñoz | TED","A Food System That Fights Climate Change — Instead of Causing It","Gonzalo Muñoz"
"Kcq-FxK-GK0","Could We Replace Data Centers with … Plant DNA? | Cliff Kapono and Keolu Fox | TED","Could We Replace Data Centers with … Plant DNA?","Cliff Kapono and Keolu Fox"
