"id","title","speech_title","speaker_name"
"Kcq-FxK-GK0","Could We Replace Data Centers with … Plant DNA? | Cliff Kapono and Keolu Fox | TED",NA,NA
"wUpZ181ATfI","A Lens on Georgia’s Survival in the Shadow of a Superpower | Daro Sulakauri | TED",NA,NA
"DnqNS6fThuY","Your Empty Wine Bottle Could Help Rebuild Coastlines | Franziska Trautmann | TED",NA,NA
"cbtkoZUOR1A","Why Creativity Thrives on Challenges | Jon M. Chu | TED",NA,NA
"JfeRLwlnuHo","Will the End of Economic Growth Come by Design — or Disaster? | Gaya Herrington | TED",NA,NA
"x6oM9hQMjUY","How a Worm Could Save Humanity From Bad AI | Ramin Hasani | TED",NA,NA
"PnBMdJ5KeHk","The Magical, Mesmerizing Migration of Monarch Butterflies | Jaime Rojo | TED",NA,NA
"TiwcAjRuhoE","A Hypnotic Exploration of Movement | JA Collective | TED",NA,NA
"WrxJKj71c9o","A Sonic Journey Through the Universe | Felipe Sánchez Luna | TED",NA,NA
"jFl9kFms7nA","What Long COVID Taught Me About Life (and Data) | Giorgia Lupi | TED",NA,NA
"Z6bxX3mcfJg","Why Don’t Vampires Cast Reflections? | Eric Nuzum | TED",NA,NA
"sgHHRVH0NFo","How to Fight (and Win) an Information War | Peter Pomerantsev | TED",NA,NA
"Y1kO-0Yo1R0","A Medical Mythbuster’s Mission to Improve Health Care | Joel Bervell | TED",NA,NA
"4R7mX6pChSA","How Regenerative Agriculture Brings Life Back to the Land | Gabe Brown | TED",NA,NA
"_cPj3b9BDPI","Harris vs. Trump — and What’s at Stake for the World | TED Explains the World with Ian Bremmer",NA,NA
"hktbamn2jX4","The Probe on a Mission To Touch the Sun | Nour E. Rawafi | TED",NA,NA
"u6m2rwNfkrU","What’s Next for Immersive Storytelling? | Mark Grimmer |  TED",NA,NA
"V3Cav6WhwZc","The Hidden Forces Behind Your Food Choices | Sarah Lake | TED",NA,NA
"WicBE2Uwz0A","Everything Is Improvisation — Including This TED Talk | Reggie Watts | TED",NA,NA
"1GRt0j698T4","How Quadratic Funding Could Finance Your Dreams | Kevin Owocki | TED",NA,NA
"vNCVrtwrAWg","The Power of Personalization in the Age of AI | Mark Abraham | TED",NA,NA
"RsXLT2z3X8g","The Sweet Future of Vertical Farming | Hiroki Koga | TED",NA,NA
"cYW8ntaw_v8","How To Come Together in a Meaningful Way | Priya Parker | TED",NA,NA
"PkGCtSkbnjQ","Can AI Preserve Your Most Precious Memories? | Pau Aleikum Garcia | TED",NA,NA
"8jkFNm8lKOs","How to Make Your Cat Happier — in 3 Minutes | Nicky Trevorrow | TED",NA,NA
"VDP27kIe7-s","A Bold Plan to Rewild the Earth — at Massive Scale | Kristine McDivitt Tompkins | TED",NA,NA
"I-B_Oa6_eNU","The UN Is Speaking Up About AI — Here’s What They’re Saying | Ian Bremmer and Bilawal Sidhu | TED",NA,NA
"HsmOJ4Xbfp4","Capitalism Broke the Climate. Now It Can Fix It | Akshat Rathi | TED",NA,NA
"RAh0Q3XsB6w","Break the Bad News Bubble with Angus Hervey (Part 1) | TED Explains",NA,NA
"jx4q82a6jHc","The Otters of Singapore — and Other Unexpected Wildlife Thriving in Cities | Philip Johns | TED",NA,NA
"G37VO1yeVEo","Time Traveling with AI to Connect with Lost Loved Ones | Amy Kurzweil | TED",NA,NA
"JpytM780stk","What Makes a Good Life? A Neuroscientist + a Global Financial CEO Answer | TED Intersections",NA,NA
"hTnJYRMixKs","The Rise of Virtual Humans — and What They Mean for the Future | Sara Giusto | TED",NA,NA
"IMC8jmEXHfk","Can Math Help Repair Democracy? | Sam Wang | TED",NA,NA
"wLvGABoTV-s","Can Dogs Detect the Next Pandemic Before It Begins? | Glen J. Golden | TED",NA,NA
"P_8l1WAJ2Mw","The Recipe for a Healthy Climate Starts at the Dinner Table | Anthony Myint | TED",NA,NA
"CeUoS2T2hhc","What’s the Future of Food? A Chef + a Cardiologist Answer | @jonkung + Uma Valeti | Intersections",NA,NA
"mGeGLLsiy44","How to Live a Meaningful Life | Brian S. Lowery | TED",NA,NA
"KNEGWrD08f8","Are Smartphones Ruining Childhood? | Jonathan Haidt | TED",NA,NA
"6iqXH9RPK1w","How to Turn the Tables on Food Waste | Dana Gunders | TED",NA,NA
"tt0HOe7gf7I","To End Extreme Poverty, Give Cash — Not Advice | Rory Stewart | TED",NA,NA
"sUv353ua7E8","How to Find Laughter Anywhere | Chris Duffy | TED",NA,NA
"Rcm9u9CdK10","What Makes Us Human in the Age of AI? A Psychologist and a Technologist Answer | TED Intersections",NA,NA
"MHZMQLDr-OA","A Controversial Play — and What It Taught Me About the Psychology of Climate | David Finnigan | TED",NA,NA
"bB33OBc-U6A","How to Ask for More — and Get It | Alex Carter | TED",NA,NA
"kIFOiF9Q4VM","Want to Get Ahead at Work? Risk the Awkward Moments | Henna Pryor | TED",NA,NA
"QjpaJpMd5NU","The Beautiful Paradoxes of a Multicultural Identity | Farhad Mohit | TED",NA,NA
"1bB86TOKljk","What Does It Take to Create Change? An Artist and a Conservationist Answer | TED Intersections",NA,NA
"v5OQeUwXlV4","The Case for Good Jobs — and Why They’re Good for Business Too | Zeynep Ton | TED",NA,NA
"HYnZy2Cx7UM","How Testosterone and Culture Shape Behavior | Carole K. Hooven | TED",NA,NA
"EjNV6JwlV2s","Part 2: Scott Galloway’s Viral TED Talk on How the Old Are Stealing from the Young",NA,NA
"Hfejyq5nrvE","The Intersection of War and Climate Change | Victor Ochen | TED",NA,NA
"c_YLAhZpfMI","The Invisible Networks Shaping Your Everyday Life | Deb Chachra | TED",NA,NA
"7GN10u6F9m0","How to Prevent — or Stop — a War | Gabrielle Rifkind | TED",NA,NA
"2gOvQIMWbCY","What Makes You “You”? An Actor + a Neuroscientist Answer | Yara Shahidi + Anil Seth | Intersections",NA,NA
"g5j9XKkDo-w","Meet Our Planet's Hidden Defenders | Anjan Sundaram | TED",NA,NA
"LUaaGfCCfPE","How to Empower Farmers — and Nourish the Planet | Agnes Kalibata | TED",NA,NA
"DdlTvyQl5ws","Yes, You Can Be an Entrepreneur Too | Saamra Mekuria-Grillo | TED",NA,NA
"QpzykxnCtvM","How to End Malaria Once and for All | Abdoulaye Diabaté | TED",NA,NA
"qDFNgc8jsrc","How Entrepreneurs Can Unlock Their Full Potential | Jay Bailey | TED",NA,NA
"XTlDS7ju_28","Are Your Coping Mechanisms Healthy? | Andrew Miki | TED",NA,NA
"g3CvsPAF3_0","How to Set the Right Goals and Stay Motivated | Ayelet Fishbach | TED",NA,NA
"Vl6VhCAeEfQ","The Tipping Points of Climate Change — and Where We Stand | Johan Rockström | TED",NA,NA
"XgpdInYDs-U","The Astonishing Future of Immersive Live Entertainment | Willie Williams | TED",NA,NA
"DAEuBdObOok","The Breakthrough Power of Young Leaders | Mohan Sivaloganathan | TED",NA,NA
"69hJ9zN4t3g","The Innovators Building Africa’s Thriving Tech Scene | Peace Itimi | TED",NA,NA
"WQGMS4gXEaM","An Anthem for Peace and Justice From Israeli and Palestinian Youth | Jerusalem Youth Chorus | TED",NA,NA
"5uTDzBwwyho","How to Break Through Fear and Become a Leader | Valerie Montgomery Rice | TED",NA,NA
"K6rSVoAakQ8","The Unsung Heroes Putting Climate Solutions Into Practice | Aline Sousa | TED",NA,NA
"Dfe7gLe3pW0","The Olympic Spirit — and How You Can Tap Into It | Allyson Felix | TED",NA,NA
"EzSdf3VK9qc","How to Disagree with Respect — Not Hate | Spencer J. Cox | TED",NA,NA
"X0DJah-4kAM","Why Isn’t the Climate Movement Voting? | Nathaniel Stinnett | TED",NA,NA
"s9rCzZEZKnM","The Secret to Finding Your Ideal Workplace | Marion Campan | TED",NA,NA
"P9h6ci3eCUU","A Firework Ladder to the Sky — and the Magic of Explosive Art | Cai Guo-Qiang | TED",NA,NA
"l5azMXvBfaw","The Secret Force for Limitless Energy? Lasers | Tammy Ma | TED",NA,NA
"VDZO45zPW9I","War Journalism Should Be Rooted in Empathy — Not Violence | Bel Trew | TED",NA,NA
"2y6GQcN9jVs","The Problem With Food and Climate — and How To Fix It | Jonathan Foley | TED",NA,NA
"ZMs-gVbhNIY","How Buildings Can Improve Life — Inside and Out | Doris Sung | TED",NA,NA
"q19SN1uQoHY","“Cant de la Sibil·la” / ""Quien Más Me Ama"" | Maria Arnal | TED",NA,NA
"Fjbz-Rzmzxw","The Satellite Helping Slow Climate Change — Right Now | Millie Chu Baird | TED",NA,NA
"B3A8HfJ2_gY","The Missing Piece of the Clean Energy Transition | Sheila Ngozi Oparaocha | TED",NA,NA
"dIYmzf21d1g","How to Claim Your Leadership Power | Michael Timms | TED",NA,NA
"zZNhuRIGQZs","What’s Possible When the Arts Belong to Everybody | Lear deBessonet with Brian Stokes Mitchell | TED",NA,NA
"LSEuKa2cdzM","Bravery, Brilliance and RuPaul Charles | On the Spot | TED",NA,NA
"UtDllX_MTbw","Quantum Computers Aren’t What You Think — They’re Cooler | Hartmut Neven | TED",NA,NA
"VgM2SkfF2Fg","What to Do When You Offend Someone | Lambers Fisher | TED",NA,NA
"Yd95LBhuSOk","My Search for Proof Aliens Exist | Avi Loeb | TED",NA,NA
"lKp7_MtPXZM","Can America Come Together after the Trump Assassination Attempt? | Ian Bremmer | TED",NA,NA
"6bl5XZ8kOzI","AI That Connects the Digital and Physical Worlds | Anima Anandkumar | TED",NA,NA
"hTbWPmYQzy8","""Blank Canvas"" / ""One World"" | Sarah Elizabeth Charles | TED",NA,NA
"mXDi_C0yb6A","The Fight Over Minerals for Green Energy — and a Better Way Forward | Saleem Ali | TED",NA,NA
"543mYKKh1EE","3 Ideas for Communicating Across the Political Divide | Isaac Saul | TED",NA,NA
"MJd6Y50hfAM","The Alchemy of Pop | Kesha | TED",NA,NA
"fmc0Pk8A0T0","How Farmworkers Are Fighting Extreme Heat | Jon Esformes and Gerardo Reyes Chávez | TED",NA,NA
"z7wk53Pt_0E","Lessons from My Father’s Final Days | Laurel Braitman | TED",NA,NA
"BH8dSEFxzjo","Could Psychedelics Help Patients in Therapy? | Benjamin Lewis | TED",NA,NA
"tWZmunAvlMM","Lessons From People Already Adapting to the Climate Crisis | Dorcas Naishorua | TED",NA,NA
"XTHUcQuybEk","Magic and Wonder in the Age of AI | David Kwong | TED",NA,NA
"TsQZOTSteK8","Democracy Requires Disagreement. Here’s How To Do It Better | Bret Stephens and Yordanos Eyoel | TED",NA,NA
"UI6IKlHh-pQ","Next Up for AI? Dancing Robots | Catie Cuan | TED",NA,NA
"icr5ParmRwU","The Hidden Danger of Lead in Soil | Yvette Cabrera | TED",NA,NA
"0xfJy96HJqo","A Street Librarian's Quest to Bring Books to Everyone | Storybook Maze | TED",NA,NA
"uEztHu4NHrs","The Last 6 Decades of AI — and What Comes Next | Ray Kurzweil | TED",NA,NA
"iKBPrJ-AKRs","How You Could See Inside Your Body — With a Micro-Robot | Alex Luebke and Vivek Kumbhari | TED",NA,NA
"SNHUu7YkNjA","A Scientific Breakthrough That Could Transform How We Produce Food | David Friedberg | TED",NA,NA
"Od4ZZ8vIFOY","""Ye Pariye Naz"" / ""Simorgh"" / ""Darya"" | Niaz Nawab | TED",NA,NA
"_QrZvwNE510","Is Cultivated Meat the Future of Food? | Uma Valeti | TED",NA,NA
"2ShZKR5Uo2I","To Love Is to Be Brave | Kelly Corrigan | TED",NA,NA
"5m9AYbFqpQo","A Master Chef’s Take on Food, Culture and Community | Marcus Samuelsson | TED",NA,NA
"T-vVO3nRFzI","How To Spot Authoritarianism — and Choose Democracy | Ian Bassin | TED",NA,NA
"bM1LXa68oxc","Leadership Lessons From the Prime Minister of Canada | Justin Trudeau | TED",NA,NA
"mz_4QLvz2HM","What DEI Gets Wrong — and How to Do It Right | Paolo Gaudiano | TED",NA,NA
"4FT5RYuifwE","Why You Should Talk About Your Anxiety at Work | Adam Whybrew | TED",NA,NA
"orD3vsEyGdA","Why AI Needs a “Nutrition Label” | Kasia Chmielinski | TED",NA,NA
"CV1yPkkUFOw","Entertainment Is Getting an AI Upgrade | Kylan Gibbs | TED",NA,NA
"nBN9zG1JNPg","Even Healthy Couples Fight — the Difference Is How | Julie and John Gottman | TED",NA,NA
"9m2wP2cArrY","Why Broken Hearts Hurt — and What Heals Them | Yoram Yovell | TED",NA,NA
"qC1QlUr5mCE","An Optimist’s Take on Reskilling in the Age of AI | Sagar Goel | TED",NA,NA
"Pj9QnO9rZkE","12 Predictions for the Future of Technology | Vinod Khosla | TED",NA,NA
